LEAVES zoom 12
65 Leaf { n: 1230513, w: 127950, r: 0, h: 3329143, w_ext: 0, r_ext: 0 }
66 Leaf { n: 1287245, w: 132024, r: 0, h: 3329144, w_ext: 0, r_ext: 0 }
67 Leaf { n: 1319646, w: 134161, r: 0, h: 3329145, w_ext: 0, r_ext: 0 }
68 Leaf { n: 1365414, w: 140458, r: 0, h: 3329146, w_ext: 0, r_ext: 0 }
69 Leaf { n: 1380686, w: 141825, r: 0, h: 3329147, w_ext: 0, r_ext: 0 }
70 Leaf { n: 1399887, w: 142941, r: 0, h: 3329148, w_ext: 0, r_ext: 0 }
71 Leaf { n: 1424045, w: 145357, r: 0, h: 3329149, w_ext: 0, r_ext: 0 }
72 Leaf { n: 1448315, w: 146722, r: 0, h: 3329150, w_ext: 0, r_ext: 0 }
73 Leaf { n: 1515425, w: 148899, r: 0, h: 3329151, w_ext: 0, r_ext: 0 }
74 Leaf { n: 1616544, w: 163381, r: 0, h: 3329152, w_ext: 0, r_ext: 0 }
75 Leaf { n: 1650849, w: 167004, r: 0, h: 3329153, w_ext: 0, r_ext: 0 }
76 Leaf { n: 1691054, w: 169309, r: 0, h: 3329154, w_ext: 0, r_ext: 0 }
77 Leaf { n: 1691190, w: 169309, r: 0, h: 3329155, w_ext: 0, r_ext: 0 }
78 Leaf { n: 1691571, w: 169309, r: 0, h: 3329156, w_ext: 0, r_ext: 0 }
79 Leaf { n: 1691626, w: 169309, r: 0, h: 3329165, w_ext: 0, r_ext: 0 }
80 Leaf { n: 1691897, w: 169309, r: 0, h: 3329166, w_ext: 0, r_ext: 0 }
81 Leaf { n: 1839150, w: 179636, r: 0, h: 3329167, w_ext: 0, r_ext: 0 }
82 Leaf { n: 1892558, w: 181322, r: 0, h: 3329168, w_ext: 0, r_ext: 0 }
83 Leaf { n: 1925048, w: 182544, r: 0, h: 3329169, w_ext: 0, r_ext: 0 }
84 Leaf { n: 1925813, w: 182544, r: 0, h: 3329170, w_ext: 0, r_ext: 0 }
85 Leaf { n: 1926622, w: 182546, r: 0, h: 3329171, w_ext: 0, r_ext: 0 }
86 Leaf { n: 1944220, w: 183457, r: 0, h: 3329172, w_ext: 0, r_ext: 0 }
87 Leaf { n: 1957864, w: 184120, r: 0, h: 3329173, w_ext: 0, r_ext: 0 }
88 Leaf { n: 1966895, w: 184692, r: 0, h: 3329174, w_ext: 0, r_ext: 0 }
89 Leaf { n: 1966955, w: 184692, r: 0, h: 3329175, w_ext: 0, r_ext: 0 }
90 Leaf { n: 1966981, w: 184692, r: 0, h: 3329176, w_ext: 0, r_ext: 0 }
91 Leaf { n: 1966989, w: 184692, r: 0, h: 3329178, w_ext: 0, r_ext: 0 }
92 Leaf { n: 1966996, w: 184692, r: 0, h: 3329181, w_ext: 0, r_ext: 0 }
93 Leaf { n: 1967010, w: 184692, r: 0, h: 3329182, w_ext: 0, r_ext: 0 }
94 Leaf { n: 1967014, w: 184692, r: 0, h: 3329189, w_ext: 0, r_ext: 0 }
95 Leaf { n: 1967016, w: 184692, r: 0, h: 3329234, w_ext: 0, r_ext: 0 }
96 Leaf { n: 1967116, w: 184692, r: 0, h: 3329236, w_ext: 0, r_ext: 0 }
97 Leaf { n: 1967645, w: 184694, r: 0, h: 3329237, w_ext: 0, r_ext: 0 }
98 Leaf { n: 1980254, w: 185292, r: 0, h: 3329238, w_ext: 0, r_ext: 0 }
99 Leaf { n: 1993209, w: 185853, r: 0, h: 3329239, w_ext: 0, r_ext: 0 }
100 Leaf { n: 1993990, w: 185854, r: 0, h: 3329240, w_ext: 0, r_ext: 0 }
101 Leaf { n: 1994046, w: 185854, r: 0, h: 3329241, w_ext: 0, r_ext: 0 }
102 Leaf { n: 1994474, w: 185855, r: 0, h: 3329242, w_ext: 0, r_ext: 0 }
103 Leaf { n: 1994596, w: 185855, r: 0, h: 3329243, w_ext: 0, r_ext: 0 }
104 Leaf { n: 1994611, w: 185855, r: 0, h: 3329244, w_ext: 0, r_ext: 0 }
105 Leaf { n: 1994612, w: 185855, r: 0, h: 3329245, w_ext: 0, r_ext: 0 }
106 Leaf { n: 1994628, w: 185855, r: 0, h: 3329537, w_ext: 0, r_ext: 0 }
107 Leaf { n: 1994630, w: 185855, r: 0, h: 3329866, w_ext: 0, r_ext: 0 }
108 Leaf { n: 1994653, w: 185855, r: 0, h: 3329867, w_ext: 0, r_ext: 0 }
109 Leaf { n: 1994674, w: 185855, r: 0, h: 3329868, w_ext: 0, r_ext: 0 }
110 Leaf { n: 1994683, w: 185855, r: 0, h: 3329876, w_ext: 0, r_ext: 0 }
111 Leaf { n: 1994688, w: 185855, r: 0, h: 3329879, w_ext: 0, r_ext: 0 }
112 Leaf { n: 1994697, w: 185855, r: 0, h: 3329880, w_ext: 0, r_ext: 0 }
113 Leaf { n: 1994705, w: 185855, r: 0, h: 3329881, w_ext: 0, r_ext: 0 }
114 Leaf { n: 1994712, w: 185855, r: 0, h: 3329882, w_ext: 0, r_ext: 0 }
115 Leaf { n: 1994722, w: 185855, r: 0, h: 3329889, w_ext: 0, r_ext: 0 }
116 Leaf { n: 1994749, w: 185855, r: 0, h: 3329892, w_ext: 0, r_ext: 0 }
117 Leaf { n: 1994754, w: 185855, r: 0, h: 3329895, w_ext: 0, r_ext: 0 }
118 Leaf { n: 1994756, w: 185855, r: 0, h: 3329896, w_ext: 0, r_ext: 0 }
119 Leaf { n: 1994761, w: 185855, r: 0, h: 3329897, w_ext: 0, r_ext: 0 }
120 Leaf { n: 1994865, w: 185855, r: 0, h: 3329898, w_ext: 0, r_ext: 0 }
121 Leaf { n: 2001055, w: 186179, r: 0, h: 3329899, w_ext: 0, r_ext: 0 }
122 Leaf { n: 2001070, w: 186180, r: 0, h: 3329902, w_ext: 0, r_ext: 0 }
123 Leaf { n: 2001092, w: 186180, r: 0, h: 3329903, w_ext: 0, r_ext: 0 }
124 Leaf { n: 2001114, w: 186180, r: 0, h: 3329908, w_ext: 0, r_ext: 0 }
125 Leaf { n: 2001116, w: 186180, r: 0, h: 3329909, w_ext: 0, r_ext: 0 }
126 Leaf { n: 2001142, w: 186180, r: 0, h: 3329936, w_ext: 0, r_ext: 0 }
127 Leaf { n: 2001165, w: 186180, r: 0, h: 3329937, w_ext: 0, r_ext: 0 }
128 Leaf { n: 2001172, w: 186180, r: 0, h: 3329938, w_ext: 0, r_ext: 0 }
129 Leaf { n: 2001191, w: 186180, r: 0, h: 3329940, w_ext: 0, r_ext: 0 }
130 Leaf { n: 2001194, w: 186180, r: 0, h: 3329941, w_ext: 0, r_ext: 0 }
